female,age,edu,income,region,july25,mps,people,officials,leg2019_voted,leg2019,pres2019_1_voted,pres2019_1,pres2019_2_voted,pres2019_2
0,23,3,3,Sfax,98,98,1,1,2,NA,2,NA,2,NA
0,70,4,5,Kebili,1,1,1,1,1,98,1,7,1,2
0,71,7,8,Tunis,1,1,1,1,1,99,1,2,1,2
0,67,4,3,Manouba,1,1,1,1,1,7,1,11,1,97
0,60,7,5,Kairouan,2,2,5,4,1,96,1,3,1,1
0,65,4,3,Siliana,1,2,1,1,2,NA,1,1,1,1
0,65,4,3,Sidi Bou Zid,1,5,1,5,1,3,1,1,1,1
0,50,4,3,Medenine,2,1,2,2,1,99,1,1,1,1
0,67,4,6,Tunis,2,2,2,4,1,5,1,7,1,1
0,65,5,1,Kasserine,1,5,1,1,1,96,1,1,1,1
0,73,7,8,Ariana,1,99,2,2,1,4,98,NA,2,NA
0,58,7,6,Tunis,1,1,1,1,2,NA,2,NA,2,NA
0,65,4,3,Kairouan,98,1,4,1,1,97,2,NA,1,97
0,56,2,NA,Sfax,98,98,98,98,2,NA,2,NA,2,NA
0,70,4,2,Kasserine,98,5,5,5,1,1,1,1,2,NA
0,84,4,NA,Tunis,98,1,1,1,1,99,1,99,1,1
0,73,4,3,Sousse,1,5,1,1,2,NA,1,1,1,1
0,67,5,NA,Ariana,1,2,1,2,1,99,1,99,1,99
0,67,5,4,Kebili,1,1,5,1,1,99,1,98,1,1
0,65,4,2,Mahdia,1,5,4,5,2,NA,1,1,2,NA
0,67,4,3,Sfax,2,2,5,2,1,1,1,3,1,1
0,75,6,NA,Gabes,99,5,2,5,2,NA,1,1,1,1
0,60,2,4,Manouba,1,5,4,4,2,NA,2,NA,2,NA
0,63,2,4,Monastir,1,5,1,1,1,1,1,1,1,1
0,62,2,NA,Sfax,1,5,1,1,1,98,1,1,1,1
0,48,2,2,Mahdia,99,3,5,1,1,3,1,2,2,NA
0,60,4,4,Manouba,1,5,1,1,1,3,1,1,1,1
0,64,2,2,Sidi Bou Zid,1,5,1,2,1,6,1,1,1,1
0,60,4,1,Beja,1,1,2,1,2,NA,2,NA,2,NA
0,65,1,6,Gabes,2,1,1,1,2,NA,1,1,1,1
0,78,2,3,Nabeul,1,2,1,2,1,3,1,1,1,1
0,71,7,2,Sfax,98,2,2,3,2,NA,1,1,1,1
0,70,5,7,Ariana,1,5,1,1,1,3,1,1,1,1
0,67,5,NA,Ben Arous,1,1,2,2,2,NA,2,NA,2,NA
0,73,7,4,Ben Arous,1,2,2,1,1,99,1,4,2,NA
0,68,4,3,Sidi Bou Zid,1,1,1,1,1,4,2,NA,2,NA
0,62,4,3,Sidi Bou Zid,1,1,2,1,1,6,1,6,1,1
0,60,5,5,Kairouan,1,1,1,1,1,99,1,99,1,99
0,64,7,8,Sousse,1,2,2,2,1,7,1,4,1,1
0,66,4,3,Beja,1,1,2,1,2,NA,2,NA,1,1
0,70,4,3,Zaghouan,1,1,1,1,1,96,1,1,1,1
0,70,5,4,Jendouba,98,5,5,1,2,NA,2,NA,2,NA
0,77,8,6,Sousse,2,4,99,1,1,3,1,1,1,1
0,81,8,NA,Bizerte,1,5,1,1,1,3,1,1,1,1
0,71,3,NA,Sousse,1,5,2,98,2,NA,2,NA,2,NA
0,60,7,4,Sousse,2,5,1,1,1,1,1,1,1,1
